channel slope_y_mean slope_y_sigma slope_x_mean slope_x_sigma residual_y_roc0_mean residual_y_roc0_sigma residual_y_roc1_mean residual_y_roc1_sigma residual_y_roc2_mean residual_y_roc2_sigma residual_x_roc0_mean residual_x_roc0_sigma residual_x_roc1_mean residual_x_roc1_sigma residual_x_roc2_mean residual_x_roc2_sigma
2       0.026217     0.007646      -0.000013    0.008474      0.000944             0.007618              0.001582             0.007082              0.000943             0.007621              -0.000045            0.005543              0.000025             0.005878              -0.000045            0.005544
4       0.026739     0.006562      0.000252     0.008573      -0.000054            0.006288              0.002301             0.005647              -0.000048            0.006284              -0.000399            0.004957              0.000903             0.005354              -0.000422            0.004944
5       0.026811     0.006466      0.000569     0.008746      0.000660             0.006427              0.000963             0.005814              0.000677             0.006443              -0.000582            0.004879              0.001196             0.005373              -0.000587            0.004863
7       0.026773     0.006538      -0.000988    0.008650      -0.000091            0.006160              0.002299             0.005614              -0.000079            0.006166              0.000745             0.004724              -0.001519            0.005305              0.000753             0.004730
8       0.026648     0.006521      -0.000286    0.008648      0.000297             0.006146              0.001551             0.005953              0.000292             0.006135              0.000296             0.005166              -0.000687            0.005667              0.000292             0.005162
10      0.026352     0.007410      -0.000127    0.008564      0.000687             0.007528              0.001936             0.007403              0.000684             0.007502              -0.000065            0.005766              0.000128             0.006500              -0.000079            0.005752
11      0.026604     0.006904      0.000782     0.008357      0.000644             0.006786              0.001406             0.006334              0.000638             0.006798              -0.000345            0.005494              0.000731             0.005783              -0.000344            0.005472
13      0.026749     0.006110      -0.001419    0.008567      0.000429             0.005640              0.000973             0.005268              0.000387             0.005631              0.001507             0.004652              -0.002938            0.005283              0.001501             0.004640
14      0.026620     0.006196      -0.000165    0.008424      0.000480             0.005688              0.000856             0.005296              0.000482             0.005689              0.000297             0.004814              -0.000545            0.005326              0.000294             0.004830
16      0.026722     0.006524      0.000515     0.008362      0.000243             0.006091              0.001645             0.005867              0.000232             0.006080              -0.000617            0.005178              0.001235             0.005574              -0.000609            0.005162
17      0.026942     0.006350      0.001242     0.008147      0.000205             0.006322              0.001875             0.005787              0.000209             0.006321              -0.001367            0.005012              0.002800             0.005529              -0.001374            0.005015
19      0.026937     0.006324      -0.000007    0.008269      0.000264             0.006063              0.001580             0.005597              0.000266             0.006067              -0.000412            0.004947              0.000813             0.005437              -0.000414            0.004944
20      0.026955     0.006252      0.000685     0.008466      0.000216             0.005778              0.001426             0.005347              0.000210             0.005780              -0.000227            0.004951              0.000435             0.005411              -0.000214            0.004947
